Acac ptyc
Acac rubi
Ager aden
Alma incu
Andro virgi
Baec imbr
Baec lini
Bank eric
Bank oblo
Bank robu
Baue rubi
Baum gunn
Baum rubi
Baum tere
Blan nobi
Boro parv
Call citr
Cass pube
Cent fasc
Chor cymb
Chor spha
Come retu
Cony albi
Cryp eric
Damp stri
Deye deci
Dill flor
Dros bina
Dros pelt
Dros spat
Empo minu
Ento stri
Epac micr
Epac obtu
Epac palu
Eury comp
Gahn sieb
Glei dica
Glei micr
Gono micr
Gono sals
Gono teuc
Good bell
Good dimo
Grev acan
Gymn spha
Hake tere
Isol inun
Junc plan
Lepi fili
Lepi limi
Lepi nees
Lepi scar
Lept gran
Lept juni
Lept poly
Lept squa
Lept tena
Lepy scar
Lind lini
Loma cyli
Loma long
Lyco late
Mela squa
Mitr palu
Mitr poly
Mono lini
Noto micr
Plin para
Poma ferr
Ptil deus
Pult diva
Scae albi
Scho brev
Sela ulig
Spor grac
Spre inca
Stac nuda
Styl line
Symp palu
Tetr turf
Thys junc
Utri late
Vill exal
Vimi junc
Viol sieb
Xant pilo
Xant resi
Xyri junc
Xyri oper
Xyri ustu
Xyris oper
