Family,Species code,Species name,Substrate,Water_trait_derived,Fire response,,Source
Poaceae,Noto micr,Notochloe microdon,"Water table permanently high, moisture supply continuous",High,Unknown,,Benson and McDougall 2005
Poaceae,Plin para,Plinthanthesis paradoxa,"poorly drained, moist",Medium,Resprouter,,Benson and McDougall 2005
Phamnaceae,Poma ferr,Pomaderris ferruginea,No specific water requirements,Low,Killed,,Benson and McDougall 2000
Cyperaceae,Ptil deus,Ptilothrix deusta,periodically moist,Medium,Resprouter,,Benson and McDougall 2002
Fabaceae,Pult diva,Pultenaea divaricata,"moist sandy soils, impeded drainage",Medium,Resprouter,,Benson and McDougall 1996
Goodeniaceae,Scae albi,Scaevola albida,"well drained, water table mostly low, moisture supply intermittent",Low,Resprouter,,Benson and McDougall 1997
Cyperaceae,Scho brev,Schoenus brevifolius,"periodically moist, inundated",Medium,Resprouter,,Benson and McDougall 2002
Selaginellaceae,Sela ulig,Selaginella uliginosa,damp sandy areas,Medium,Unknown,,Plantnet
Restionaceae,Spor grac,Sporadanthus gracilis,permanently moist,High,Resprouter,,Benson and McDougall 2005
Epacridaceae,Spre inca,Sprengelia incarnata,poorly-drained and permanently moist,High,Killed,,Benson and McDougall 1995
Celastraceae,Stac nuda,Stackhousia nuda,grows on swamp margins in moist sand,Medium,Unknown,,Plantnet
Stylidiaceae,Styl line,Stylidium lineare,moist sandy or gravelly soils,Medium,Resptrouter,,Benson and McDougall 2001
Proteaceae,Symp palu,Symphionema paludosum,clay soils on sandstone with continuous moisture,High,Killed,,Benson and McDougall 2000
Poaceae,Tetr turf,Tetrarrhena turfosa,permanently moist,High,unknown,,Benson and McDougall 2005
Asparagaceae,Thys junc,Thysanotus juncifolius,"periodically wet, peaty sand",Medium,Resprouter,,Benson and McDougall 2002
Lentibulariaceae,Utri late,Utricularia lateriflora,"damp, but not waterlogged",Medium,Resprouter,,Benson and McDougall 1997
Menyanthaceae,Vill exal,Villarsia exaltata,stationary or slow-flowing water to 50cm deep in swamps or ephemeral pools,High,Resprouter,,Benson and McDougall 1997
Fabaceae,Vimi junc,Viminaria juncea,poorly-drained,Medium,Killed,,Benson and McDougall 1996
Violaceae,Viol sieb,Viola sieberiana,moist soil,Medium,Resprouter,,Benson and McDougall 2001
Apiaceae,Xant pilo,Xanthosia pilosa,"Water table mostly low, moisture supply intermittent",Low,Variable,,Benson and McDougall 1993
Xanthorrhoeaceae,Xant resi,Xanthorrhoea resinosa,seasonally wet sites,Medium,Resprouter,,Benson and McDougall 2005
Xyridaceae,Xyri junc,Xyris juncea,"damp to wet, usually permanently moist",High,Resprouter,,Benson and McDougall 2005
Xyridaceae,Xyri oper,Xyris operculata,"permanently moist, damp to waterlogged",High,Resprouter,,Benson and McDougall 2005
Xyridaceae,Xyri ustu,Xyris ustulata,permanently wet,High,Resprouter,,Benson and McDougall 2005
