Sod,Date,Time_pt,moist_1,moist_2,moist_3
MH_TT_28,6.4.17,2,9.7,22.9,18
MH_TT_29,6.4.17,2,37.2,22.9,33.6
MH_TT_30,6.4.17,2,23.5,19.2,28.1
MH_TT_31,6.4.17,2,13.2,14.7,16
MH_CH_01,20.4.17,3,91.6,47.9,93.2
MH_CH_02,20.4.17,3,49,41.9,14.5
MH_CH_03,20.4.17,3,47,77,54.5
MH_CH_04,20.4.17,3,90.4,90.5,90.7
MH_CH_05,20.4.17,3,47,43,38.4
MH_CH_06,20.4.17,3,46.7,53,50.5
MH_CH_07,20.4.17,3,81.5,51.5,55.5
MH_CH_08,20.4.17,3,78.5,72.5,83.5
MH_CH_09,20.4.17,3,49.4,88,31.9
MH_CH_10,20.4.17,3,47.9,79.5,91
MH_CH_11,20.4.17,3,65.5,81.5,52.5
MH_CH_12,20.4.17,3,39.6,71,44.9
MH_CH_13,20.4.17,3,33.3,30.8,24.1
MH_CH_14,20.4.17,3,68,31.1,74
MH_CH_15,20.4.17,3,48.2,57,44.6
MH_CH_16,20.4.17,3,77.5,89.1,80
MH_CH_17,20.4.17,3,0,0,4.5
MH_CH_18,20.4.17,3,90.5,90.5,88
MH_CH_19,20.4.17,3,80.5,70.5,83.5
MH_CH_20,20.4.17,3,54.5,64.5,41
MH_CH_21,20.4.17,3,58.5,59.5,44.7
MH_CH_22,20.4.17,3,55.5,89.4,55.3
MH_CH_23,20.4.17,3,55.3,20.7,45.3
MH_CH_24,20.4.17,3,24.7,31.9,28.3
MH_CH_25,20.4.17,3,30,63,32.2
MH_CH_26,20.4.17,3,48.2,69.5,61.5
MH_CH_27,20.4.17,3,84,68.5,34.8
MH_CH_28,20.4.17,3,43.2,54.5,51.5
MH_CH_29,20.4.17,3,85.5,89.4,89.1
MH_CH_30,20.4.17,3,29.5,7.7,38
MH_CH_31,20.4.17,3,75.5,69,77.5
MH_TT_01,20.4.17,3,34.2,53,75
MH_TT_02,20.4.17,3,48,47.8,64.5
MH_TT_03,20.4.17,3,65,44.6,88.1
MH_TT_04,20.4.17,3,80,47.8,88.9
MH_TT_05,20.4.17,3,53,51.5,48.6
MH_TT_06,20.4.17,3,71,89.6,47.7
MH_TT_07,20.4.17,3,13.1,3.1,29.5
MH_TT_08,20.4.17,3,46.5,66,48.1
MH_TT_09,20.4.17,3,91,62.5,89.7
MH_TT_10,20.4.17,3,40.4,34,28.3
MH_TT_11,20.4.17,3,33,32.2,33
MH_TT_12,20.4.17,3,32.4,42.2,42
MH_TT_13,20.4.17,3,29.7,36.6,16.6
MH_TT_14,20.4.17,3,81,42.2,65.5
MH_TT_15,20.4.17,3,41.3,47.7,84.5
MH_TT_16,20.4.17,3,36.9,38.3,38.3
MH_TT_17,20.4.17,3,41.7,47.9,26.3
MH_TT_18,20.4.17,3,78.5,55.5,57.5
MH_TT_19,20.4.17,3,80,73.5,89.1
MH_TT_20,20.4.17,3,86,89.4,89.4
MH_TT_21,20.4.17,3,32.1,53,48
MH_TT_22,20.4.17,3,20.6,22.5,9.6
MH_TT_23,20.4.17,3,55.3,89.4,89.1
MH_TT_24,20.4.17,3,89.9,89.7,89.6
MH_TT_25,20.4.17,3,33.1,31.7,41.4
MH_TT_26,20.4.17,3,43.2,37.8,47.6
MH_TT_27,20.4.17,3,37.7,42.4,35.4
MH_TT_28,20.4.17,3,19.5,16.7,17.8
MH_TT_29,20.4.17,3,24.4,32.2,44.8
MH_TT_30,20.4.17,3,14.9,22.5,32.4
MH_TT_31,20.4.17,3,20.8,13.4,21
MH_CH_01,5.5.17,4,86,91.6,76.5
MH_CH_02,5.5.17,4,42.4,11.2,35.5
MH_CH_03,5.5.17,4,44.7,47.6,47.6
MH_CH_04,5.5.17,4,90.5,89.9,90.8
MH_CH_05,5.5.17,4,39.3,36,39.4
MH_CH_06,5.5.17,4,48.4,49,63.5
MH_CH_07,5.5.17,4,45.3,45.8,49
MH_CH_08,5.5.17,4,71,69,72
MH_CH_09,5.5.17,4,56,55.3,73.5
MH_CH_10,5.5.17,4,76.5,74,49.1
MH_CH_11,5.5.17,4,77.5,81.5,70.5
MH_CH_12,5.5.17,4,53.5,76.5,57.5
MH_CH_13,5.5.17,4,23.8,24.6,25.8
MH_CH_14,5.5.17,4,60,43.4,63.5
MH_CH_15,5.5.17,4,42,48.2,48.1
MH_CH_16,5.5.17,4,88,46.3,48.2
MH_CH_17,5.5.17,4,0,5.1,0
MH_CH_18,5.5.17,4,91.8,92.3,89.7
MH_CH_19,5.5.17,4,70.5,55.3,46.2
MH_CH_20,5.5.17,4,56,56.5,42.3
MH_CH_21,5.5.17,4,49.1,49.1,31.3
MH_CH_22,5.5.17,4,86,89.6,47.9
MH_CH_23,5.5.17,4,75.5,35.2,74
MH_CH_24,5.5.17,4,21.8,25,22.3
MH_CH_25,5.5.17,4,28.7,37,27.7
MH_CH_26,5.5.17,4,77.5,59,72
MH_CH_27,5.5.17,4,72.5,48.7,80
MH_CH_28,5.5.17,4,69.5,45.3,88.1
MH_CH_29,5.5.17,4,91.3,85.5,79.5
MH_CH_30,5.5.17,4,41.7,17.1,35.2
MH_CH_31,5.5.17,4,80.5,40.6,73.5
MH_TT_01,5.5.17,4,48,48.6,85.5
MH_TT_02,5.5.17,4,77,67.5,66.5
MH_TT_03,5.5.17,4,84.5,90.5,88.6
MH_TT_04,5.5.17,4,72,40.3,57.5
MH_TT_05,5.5.17,4,49.4,58.5,45.4
MH_TT_06,5.5.17,4,48.9,78.5,80.5
MH_TT_07,5.5.17,4,11.1,21.3,10.5
MH_TT_08,5.5.17,4,91.8,91.8,88
MH_TT_09,5.5.17,4,89.7,89.6,90
MH_TT_10,5.5.17,4,36.6,30.1,39.3
MH_TT_11,5.5.17,4,35.4,45.8,38.3
MH_TT_12,5.5.17,4,34.8,39.5,43
MH_TT_13,5.5.17,4,34.5,31.7,39.9
MH_TT_14,5.5.17,4,71.5,78,81
MH_TT_15,5.5.17,4,56.5,40.9,82.5
MH_TT_16,5.5.17,4,34,37.1,39.8
MH_TT_17,5.5.17,4,41.2,48.2,30.7
MH_TT_18,5.5.17,4,74,63,48.9
MH_TT_19,5.5.17,4,72.5,69,81.5
MH_TT_20,5.5.17,4,91.6,91.6,91.5
MH_TT_21,5.5.17,4,35.4,43,43.1
MH_TT_22,5.5.17,4,6.9,8.7,15.6
MH_TT_23,5.5.17,4,84,89.9,89.9
MH_TT_24,5.5.17,4,45.8,89.7,90.5
MH_TT_25,5.5.17,4,34.3,15.7,35.5
MH_TT_26,5.5.17,4,57.5,62,57.5
MH_TT_27,5.5.17,4,36.2,43.4,40.6
MH_TT_28,5.5.17,4,24.6,26.5,19.7
MH_TT_29,5.5.17,4,28,36,33.1
MH_TT_30,5.5.17,4,21,17.2,30.6
MH_TT_31,5.5.17,4,25.9,15.7,28.3
MH_CH_01,2.6.17,5,92,91,89.7
MH_CH_02,2.6.17,5,36.4,4.2,11.6
MH_CH_03,2.6.17,5,44.8,45.1,66.5
MH_CH_04,2.6.17,5,93.6,91.6,92.8
MH_CH_05,2.6.17,5,35.1,37.1,39.5
MH_CH_06,2.6.17,5,71,76.5,72.5
MH_CH_07,2.6.17,5,34.8,30.5,43.3
MH_CH_08,2.6.17,5,61.5,78.5,89.4
MH_CH_09,2.6.17,5,28.5,47.9,45.3
MH_CH_10,2.6.17,5,86,75,71
MH_CH_11,2.6.17,5,74.5,78,69.5
MH_CH_12,2.6.17,5,48.7,56.5,40.4
MH_CH_13,2.6.17,5,20.5,16.4,12.9
MH_CH_14,2.6.17,5,39.9,69,48.4
MH_CH_15,2.6.17,5,38.6,32.3,24.1
MH_CH_16,2.6.17,5,83,75.5,49.1
MH_CH_17,2.6.17,5,0,8.1,0
MH_CH_18,2.6.17,5,92.4,92.8,90.8
MH_CH_19,2.6.17,5,83.5,90.8,63
MH_CH_20,2.6.17,5,53,49.4,57.5
MH_CH_21,2.6.17,5,33.1,30.6,79.5
MH_CH_22,2.6.17,5,89.1,93.6,89.6
MH_CH_23,2.6.17,5,86,23.4,74.5
MH_CH_24,2.6.17,5,14.4,12.6,23.9
MH_CH_25,2.6.17,5,34,33.7,28.9
MH_CH_26,2.6.17,5,49,60.5,45.7
MH_CH_27,2.6.17,5,48.2,65,74
MH_CH_28,2.6.17,5,81,84.5,31.3
MH_CH_29,2.6.17,5,90.5,91.8,90
MH_CH_30,2.6.17,5,47,6.9,41.8
MH_CH_31,2.6.17,5,88.8,74,84.5
MH_TT_01,2.6.17,5,81,57.5,77.5
MH_TT_02,2.6.17,5,84.5,72.5,69.5
MH_TT_03,2.6.17,5,88.8,91,88
MH_TT_04,2.6.17,5,63.5,74.5,55.3
MH_TT_05,2.6.17,5,47.1,46.3,48.7
MH_TT_06,2.6.17,5,82.5,45.6,85.5
MH_TT_07,2.6.17,5,9.3,15.5,2.6
MH_TT_08,2.6.17,5,94.2,93.2,83
MH_TT_09,2.6.17,5,92,90.8,91.3
MH_TT_10,2.6.17,5,42.4,37.9,32
MH_TT_11,2.6.17,5,35.5,38.5,31.8
MH_TT_12,2.6.17,5,34.5,39.4,34.6
MH_TT_13,2.6.17,5,33.7,34.6,44.2
MH_TT_14,2.6.17,5,83.5,43.4,81.5
MH_TT_15,2.6.17,5,67.5,45.1,88
MH_TT_16,2.6.17,5,31.6,35.3,36.2
MH_TT_17,2.6.17,5,47.2,44.8,37
MH_TT_18,2.6.17,5,66.5,80.5,77.5
MH_TT_19,2.6.17,5,81.5,72.5,88.8
MH_TT_20,2.6.17,5,93.2,92.4,91.8
MH_TT_21,2.6.17,5,37.2,46.5,60
MH_TT_22,2.6.17,5,5.5,9.5,9.4
MH_TT_23,2.6.17,5,91,91.6,91.6
MH_TT_24,2.6.17,5,90.8,46.6,91.8
MH_TT_25,2.6.17,5,27.7,43.4,37.4
MH_TT_26,2.6.17,5,80,46.2,43.4
MH_TT_27,2.6.17,5,40.9,40.8,36.7
MH_TT_28,2.6.17,5,29.1,14,26.2
MH_TT_29,2.6.17,5,38,30.1,30.7
MH_TT_30,2.6.17,5,27.6,18.6,23.3
MH_TT_31,2.6.17,5,26.8,21.1,24.7
MH_CH_01,29.6.17,6,88.9,93.2,92.8
MH_CH_02,29.6.17,6,10.1,43.9,7.9
MH_CH_03,29.6.17,6,42.7,45.5,48.5
MH_CH_04,29.6.17,6,90.4,91,92
MH_CH_05,29.6.17,6,34.9,42.2,34.9
MH_CH_06,29.6.17,6,70.5,78,74.5
MH_CH_07,29.6.17,6,32.8,25.5,73.5
MH_CH_08,29.6.17,6,56,62,71.5
MH_CH_09,29.6.17,6,31.2,67.5,47.6
MH_CH_10,29.6.17,6,79.5,67.5,62
MH_CH_11,29.6.17,6,62.5,74,60.5
MH_CH_12,29.6.17,6,67.5,68.5,35.9
MH_CH_13,29.6.17,6,12.4,18.3,15.7
MH_CH_14,29.6.17,6,49.4,54,56
MH_CH_15,29.6.17,6,38.2,5.4,24.3
MH_CH_16,29.6.17,6,79.5,66.5,73.5
MH_CH_17,29.6.17,6,0,0,5.2
MH_CH_18,29.6.17,6,90.7,91.8,90
MH_CH_19,29.6.17,6,44.7,88.9,83
MH_CH_20,29.6.17,6,48.7,47.8,31.9
MH_CH_21,29.6.17,6,42.4,32.2,66.5
MH_CH_22,29.6.17,6,47.9,91.6,86
MH_CH_23,29.6.17,6,39.5,81,89.7
MH_CH_24,29.6.17,6,5.4,7.7,23.2
MH_CH_25,29.6.17,6,28.6,33.3,32
MH_CH_26,29.6.17,6,50.5,69.5,43.4
MH_CH_27,29.6.17,6,40.2,77,89.9
MH_CH_28,29.6.17,6,86,75.5,41.5
MH_CH_29,29.6.17,6,83,88,90
MH_CH_30,29.6.17,6,44.7,21.6,28.9
MH_CH_31,29.6.17,6,82.5,80,84.5
MH_TT_01,29.6.17,6,47.4,78.5,73.5
MH_TT_02,29.6.17,6,56,52.5,51.5
MH_TT_03,29.6.17,6,81.5,74.5,47.9
MH_TT_04,29.6.17,6,58.5,71.5,57.5
MH_TT_05,29.6.17,6,47.6,47,44.6
MH_TT_06,29.6.17,6,75.5,56.5,28.6
MH_TT_07,29.6.17,6,6.3,2.5,0
MH_TT_08,29.6.17,6,91,88.1,92.9
MH_TT_09,29.6.17,6,91.8,90.4,90.4
MH_TT_10,29.6.17,6,39.9,39.1,27.6
MH_TT_11,29.6.17,6,28.3,32.9,29.7
MH_TT_12,29.6.17,6,42.2,41,38.9
MH_TT_13,29.6.17,6,39.3,37,47.4
MH_TT_14,29.6.17,6,74,81.5,49.2
MH_TT_15,29.6.17,6,88.1,90.8,89.6
MH_TT_16,29.6.17,6,28.3,37.5,38
MH_TT_17,29.6.17,6,33.7,34.3,41.4
MH_TT_18,29.6.17,6,77.5,72,60
MH_TT_19,29.6.17,6,79.5,81.5,78
MH_TT_20,29.6.17,6,93.4,91.8,92.3
MH_TT_21,29.6.17,6,37.1,47,61.5
MH_TT_22,29.6.17,6,6,5.4,2.1
MH_TT_23,29.6.17,6,86,90.8,91.5
MH_TT_24,29.6.17,6,90.7,91.8,92
MH_TT_25,29.6.17,6,14.4,32.5,37.2
MH_TT_26,29.6.17,6,69,88.6,41.4
MH_TT_27,29.6.17,6,37.2,31.6,41.2
MH_TT_28,29.6.17,6,32.4,22.9,24.5
MH_TT_29,29.6.17,6,25.9,28.5,28.6
MH_TT_30,29.6.17,6,21.4,18.8,30.9
MH_TT_31,29.6.17,6,27.1,23.5,23.1
MH_CH_01,24.8.17,7,86,75.5,90.5
MH_CH_02,24.8.17,7,32.7,20.9,6.3
MH_CH_03,24.8.17,7,32.5,43.2,32.4
MH_CH_04,24.8.17,7,88.8,88.9,89.7
MH_CH_05,24.8.17,7,26.4,26.6,29.1
MH_CH_06,24.8.17,7,48.5,47.3,46.6
MH_CH_07,24.8.17,7,45,38.5,21.6
MH_CH_08,24.8.17,7,48.4,48.4,72
MH_CH_09,24.8.17,7,24.9,30.7,25.5
MH_CH_10,24.8.17,7,68,73.5,53
MH_CH_11,24.8.17,7,50.5,58.5,47.8
MH_CH_12,24.8.17,7,38.8,48.2,44.3
MH_CH_13,24.8.17,7,13,2.9,17.6
MH_CH_14,24.8.17,7,47.6,33.6,44.1
MH_CH_15,24.8.17,7,31,16.7,31.2
MH_CH_16,24.8.17,7,71.5,46.3,60
MH_CH_17,24.8.17,7,0,4.3,0
MH_CH_18,24.8.17,7,85.5,78,89.6
MH_CH_19,24.8.17,7,37.1,83.5,47
MH_CH_20,24.8.17,7,39,37.1,39.5
MH_CH_21,24.8.17,7,38.4,34.6,34.5
MH_CH_22,24.8.17,7,89.6,91,91.6
MH_CH_23,24.8.17,7,35.9,65,23.6
MH_CH_24,24.8.17,7,0,3.4,10.6
MH_CH_25,24.8.17,7,41.2,34.7,24.9
MH_CH_26,24.8.17,7,46.7,46.2,37
MH_CH_27,24.8.17,7,43.2,62.5,41.3
MH_CH_28,24.8.17,7,67.5,66,56.5
MH_CH_29,24.8.17,7,54.5,88.9,88.6
MH_CH_30,24.8.17,7,39.1,33.7,30.4
MH_CH_31,24.8.17,7,69.5,65.5,66.5
MH_TT_01,24.8.17,7,43.4,39.4,85.5
MH_TT_02,24.8.17,7,45,48.4,54.5
MH_TT_03,24.8.17,7,71,48.6,78.5
MH_TT_04,24.8.17,7,48,43,53
MH_TT_05,24.8.17,7,36.5,33.4,37.1
MH_TT_06,24.8.17,7,48.9,48,56.5
MH_TT_07,24.8.17,7,36.6,16,4.9
MH_TT_08,24.8.17,7,89.4,88,89.9
MH_TT_09,24.8.17,7,47.9,47.9,55.3
MH_TT_10,24.8.17,7,25.9,27.5,26.5
MH_TT_11,24.8.17,7,45.2,34.4,48.1
MH_TT_12,24.8.17,7,33.5,41,35.1
MH_TT_13,24.8.17,7,34.6,48,50.5
MH_TT_14,24.8.17,7,84.5,78,68.5
MH_TT_15,24.8.17,7,89.1,55.3,88.8
MH_TT_16,24.8.17,7,11.9,16.6,22.1
MH_TT_17,24.8.17,7,44.9,48,29.2
MH_TT_18,24.8.17,7,49,62.5,65.5
MH_TT_19,24.8.17,7,55.5,64.5,62.5
MH_TT_20,24.8.17,7,86,88.1,89.1
MH_TT_21,24.8.17,7,29.6,33.4,42.6
MH_TT_22,24.8.17,7,0,0,0
MH_TT_23,24.8.17,7,88,90.4,90
MH_TT_24,24.8.17,7,90.8,67.5,89.9
MH_TT_25,24.8.17,7,21.2,37,34.3
MH_TT_26,24.8.17,7,45.8,81.5,48.6
MH_TT_27,24.8.17,7,42.6,39.5,35.3
MH_TT_28,24.8.17,7,31.9,28.5,26.1
MH_TT_29,24.8.17,7,24.6,35.9,27.1
MH_TT_30,24.8.17,7,24.9,16.9,28.7
MH_TT_31,24.8.17,7,26.5,27.7,26.3
MH_CH_01,17.11.17,8,6.1,16.6,11.8
MH_CH_02,17.11.17,8,3.1,10.9,6.2
MH_CH_03,17.11.17,8,21.5,22.3,17.1
MH_CH_04,17.11.17,8,84.5,47.9,84.5
MH_CH_05,17.11.17,8,2.5,2.5,0
MH_CH_06,17.11.17,8,29.3,33.7,27.3
MH_CH_07,17.11.17,8,24.9,34.9,7.5
MH_CH_08,17.11.17,8,45.4,47.7,46
MH_CH_09,17.11.17,8,7.7,18.6,9.1
MH_CH_10,17.11.17,8,47.1,49.1,33
MH_CH_11,17.11.17,8,46.6,41,42.7
MH_CH_12,17.11.17,8,47.2,46,36.5
MH_CH_13,17.11.17,8,1.3,6.5,2.2
MH_CH_14,17.11.17,8,21.1,15.5,19.6
MH_CH_15,17.11.17,8,0,0,0
MH_CH_16,17.11.17,8,32.1,36.4,25.4
MH_CH_17,17.11.17,8,0,0,0
MH_CH_18,17.11.17,8,60,72.5,66.5
MH_CH_19,17.11.17,8,38.6,71.5,47.4
MH_CH_20,17.11.17,8,4.2,0.3,6.6
MH_CH_21,17.11.17,8,32.2,24.6,34
MH_CH_22,17.11.17,8,77,89.6,72.5
MH_CH_23,17.11.17,8,48.1,21.4,30.6
MH_CH_24,17.11.17,8,9.2,0,0
MH_CH_25,17.11.17,8,13.6,15.8,0
