Sod,Date,Time_pt,moist_1,moist_2,moist_3
MH_CH_27,8.2.18,9,46.2,45.8,45.2
MH_CH_28,8.2.18,9,48.9,74,70.5
MH_CH_29,8.2.18,9,47.6,72.5,48.7
MH_CH_30,8.2.18,9,0,5.4,1.9
MH_CH_31,8.2.18,9,48.6,48.4,49.4
MH_TT_01,8.2.18,9,16.2,12,11
MH_TT_02,8.2.18,9,45.4,41,44.7
MH_TT_03,8.2.18,9,11,11.9,19.6
MH_TT_04,8.2.18,9,34.2,29.8,34.6
MH_TT_05,8.2.18,9,1.7,0,0
MH_TT_06,8.2.18,9,12.3,14.7,4.7
MH_TT_07,8.2.18,9,22.6,11.7,9.2
MH_TT_08,8.2.18,9,47.6,68.5,48.6
MH_TT_09,8.2.18,9,59,61.5,70.5
MH_TT_10,8.2.18,9,25.5,21.6,22.5
MH_TT_11,8.2.18,9,25.3,22.8,31.1
MH_TT_12,8.2.18,9,18.1,17.6,20.8
MH_TT_13,8.2.18,9,37.7,36.2,39.3
MH_TT_14,8.2.18,9,29.7,32.1,45.7
MH_TT_15,8.2.18,9,61.5,82.5,83.5
MH_TT_16,8.2.18,9,6.1,0,6.1
MH_TT_17,8.2.18,9,28.3,31.9,33.4
MH_TT_18,8.2.18,9,47.9,49.4,47.2
MH_TT_19,8.2.18,9,40.1,43.8,42.2
MH_TT_20,8.2.18,9,49,48.6,49.2
MH_TT_21,8.2.18,9,23.3,26.5,26.2
MH_TT_22,8.2.18,9,0,0,0
MH_TT_23,8.2.18,9,70.5,79.5,80.5
MH_TT_24,8.2.18,9,48.7,49.1,47
MH_TT_25,8.2.18,9,25.2,26.8,22
MH_TT_26,8.2.18,9,52.5,48.6,48.5
MH_TT_27,8.2.18,9,34.5,41.4,37.4
MH_TT_28,8.2.18,9,7.5,3.4,3.9
MH_TT_29,8.2.18,9,0,1.9,0
MH_TT_30,8.2.18,9,19.4,24.9,17.1
MH_TT_31,8.2.18,9,4,3.8,4.2
MH_CH_01,10.5.18,10,31.3,34,30.3
MH_CH_02,10.5.18,10,0,0,0
MH_CH_03,10.5.18,10,5.5,6.9,8.9
MH_CH_04,10.5.18,10,51,61.5,45.1
MH_CH_05,10.5.18,10,0,0,0
MH_CH_06,10.5.18,10,39.8,41.4,24.7
MH_CH_07,10.5.18,10,4.6,4.3,4.5
MH_CH_08,10.5.18,10,35.1,38.4,35.4
MH_CH_09,10.5.18,10,0,0.5,0
MH_CH_10,10.5.18,10,37.5,41.9,46.2
MH_CH_11,10.5.18,10,42,46.7,42.9
MH_CH_12,10.5.18,10,38.1,39.3,33.4
MH_CH_13,10.5.18,10,0,0,0
MH_CH_14,10.5.18,10,7.2,17.5,14.4
MH_CH_15,10.5.18,10,4.9,0.4,0
MH_CH_16,10.5.18,10,38.5,29.7,33.4
MH_CH_17,10.5.18,10,0,0,0
MH_CH_18,10.5.18,10,45.8,67.5,53
MH_CH_19,10.5.18,10,63.5,48.7,46
MH_CH_20,10.5.18,10,0,0,0
MH_CH_21,10.5.18,10,31.5,28.3,27.2
MH_CH_22,10.5.18,10,54.5,72.5,48.2
MH_CH_23,10.5.18,10,32.5,13.2,25.6
MH_CH_24,10.5.18,10,0,0,0
MH_CH_25,10.5.18,10,0,0,0
MH_CH_26,10.5.18,10,31.8,33.1,29.1
MH_CH_27,10.5.18,10,43.8,39.6,32.5
MH_CH_28,10.5.18,10,48.1,69.5,71.5
MH_CH_29,10.5.18,10,44.3,48.4,43.4
MH_CH_30,10.5.18,10,0,0,0
MH_CH_31,10.5.18,10,43.8,43.8,45.4
MH_TT_01,10.5.18,10,19.8,10.8,13
MH_TT_02,10.5.18,10,30.3,47,39.4
MH_TT_03,10.5.18,10,21.8,20.8,15.1
MH_TT_04,10.5.18,10,0.7,10.5,0.7
MH_TT_05,10.5.18,10,0.6,0,1.8
MH_TT_06,10.5.18,10,0,0,0
MH_TT_07,10.5.18,10,15.6,10.9,10
MH_TT_08,10.5.18,10,43.9,47,39.5
MH_TT_09,10.5.18,10,65,48.5,74.5
MH_TT_10,10.5.18,10,0,0.6,1.6
MH_TT_11,10.5.18,10,3.9,8.7,10.5
MH_TT_12,10.5.18,10,0,0,0.3
MH_TT_13,10.5.18,10,39.6,41.3,43.8
MH_TT_14,10.5.18,10,36.5,31.6,44.6
MH_TT_15,10.5.18,10,74.5,48.9,74.5
MH_TT_16,10.5.18,10,3.7,2.5,0
MH_TT_17,10.5.18,10,31.5,27.3,32.4
MH_TT_18,10.5.18,10,46.6,48.6,47.9
MH_TT_19,10.5.18,10,36.5,41.4,41.4
MH_TT_20,10.5.18,10,47.6,45.3,46.2
MH_TT_21,10.5.18,10,4.2,3,4
MH_TT_22,10.5.18,10,0,0,0
MH_TT_23,10.5.18,10,56.5,69,75.5
MH_TT_24,10.5.18,10,48.5,48.4,52.5
MH_TT_25,10.5.18,10,10.3,6.1,6.6
MH_TT_26,10.5.18,10,49.2,60,47.9
MH_TT_27,10.5.18,10,39.5,41.4,37
MH_TT_28,10.5.18,10,5.2,3.6,0.6
MH_TT_29,10.5.18,10,3.4,0.6,0
MH_TT_30,10.5.18,10,18,20.6,13.7
MH_TT_31,10.5.18,10,0.8,0.9,0
MH_CH_01,24.8.18,11,32.5,34.8,33.4
MH_CH_02,24.8.18,11,0,0,0
MH_CH_03,24.8.18,11,3.7,6.7,11.8
MH_CH_04,24.8.18,11,49,48.5,49
MH_CH_05,24.8.18,11,0.3,0,0
MH_CH_06,24.8.18,11,39.8,16.3,39
MH_CH_07,24.8.18,11,0.4,2.9,4.6
MH_CH_08,24.8.18,11,36.5,36.1,36.2
MH_CH_09,24.8.18,11,0,0,0
MH_CH_10,24.8.18,11,39.4,38.9,32
MH_CH_11,24.8.18,11,42.2,46.3,43.6
MH_CH_12,24.8.18,11,37,37.9,31.5
MH_CH_13,24.8.18,11,0,0,0
MH_CH_14,24.8.18,11,10.5,0,9.6
MH_CH_15,24.8.18,11,0,0,0
MH_CH_16,24.8.18,11,39.1,30.8,22.8
MH_CH_17,24.8.18,11,0,0,0
MH_CH_18,24.8.18,11,45.2,50.5,47.5
MH_CH_19,24.8.18,11,46.3,66,48.4
MH_CH_20,24.8.18,11,0,0,0
MH_CH_21,24.8.18,11,25.5,30,28.1
MH_CH_22,24.8.18,11,49.2,42.4,49
MH_CH_23,24.8.18,11,36.7,11.1,38.3
MH_CH_24,24.8.18,11,0,0,0
MH_CH_25,24.8.18,11,0,0,0
MH_CH_26,24.8.18,11,11.8,3.1,12.4
MH_CH_27,24.8.18,11,44.2,37,33
MH_CH_28,24.8.18,11,53,48.4,57.5
MH_CH_29,24.8.18,11,42.3,46.2,45
MH_CH_30,24.8.18,11,0,0,0
MH_CH_31,24.8.18,11,44.1,45,46
MH_TT_01,24.8.18,11,8.4,6.5,8.9
MH_TT_02,24.8.18,11,37.5,48.9,42.8
MH_TT_03,24.8.18,11,21.1,25,19.2
MH_TT_04,24.8.18,11,10.5,12.7,9.9
MH_TT_05,24.8.18,11,7.9,7.3,2.5
MH_TT_06,24.8.18,11,0,0,0
MH_TT_07,24.8.18,11,2.2,11.8,0
MH_TT_08,24.8.18,11,40.1,27.2,42.2
MH_TT_09,24.8.18,11,48.6,72.5,47
MH_TT_10,24.8.18,11,0,0,0
MH_TT_11,24.8.18,11,30,18.9,15
MH_TT_12,24.8.18,11,0,0,0
MH_TT_13,24.8.18,11,41.2,47.7,32.4
MH_TT_14,24.8.18,11,35.8,45.5,35.4
MH_TT_15,24.8.18,11,47.5,77.5,86
MH_TT_16,24.8.18,11,3.5,0,2.9
MH_TT_17,24.8.18,11,27.3,30,32.1
MH_TT_18,24.8.18,11,47,46.6,48.1
MH_TT_19,24.8.18,11,41.5,39.5,37.8
MH_TT_20,24.8.18,11,47.8,43.8,48
MH_TT_21,24.8.18,11,18.5,12.7,11.1
MH_TT_22,24.8.18,11,0,0,0
MH_TT_23,24.8.18,11,58.5,69.5,48.6
MH_TT_24,24.8.18,11,47,44.1,48.9
MH_TT_25,24.8.18,11,1.5,8.4,11.5
MH_TT_26,24.8.18,11,69,74,48.9
MH_TT_27,24.8.18,11,37.4,38.1,40.4
MH_TT_28,24.8.18,11,18,0,12.1
MH_TT_29,24.8.18,11,5.7,16.2,7.7
MH_TT_30,24.8.18,11,24.3,20,17.2
MH_TT_31,24.8.18,11,5.8,0,14.5
MH_CH_01,29.11.18,12,55.3,51,72.5
MH_CH_02,29.11.18,12,0,0,0
MH_CH_03,29.11.18,12,4.9,0.3,4.9
MH_CH_04,29.11.18,12,48.5,45.1,43.9
MH_CH_05,29.11.18,12,0,0,0
MH_CH_06,29.11.18,12,44.1,34.1,42.4
MH_CH_07,29.11.18,12,17.2,8,17.4
MH_CH_08,29.11.18,12,30.3,28.5,26.2
MH_CH_09,29.11.18,12,0,0,0
MH_CH_10,29.11.18,12,37.6,38.5,30.3
MH_CH_11,29.11.18,12,39.3,40.8,44.7
MH_CH_12,29.11.18,12,24.7,18.3,19.5
MH_CH_13,29.11.18,12,20.9,13.6,18.8
MH_CH_14,29.11.18,12,11,3.7,8.2
MH_CH_15,29.11.18,12,0,0,0
MH_CH_16,29.11.18,12,32.8,29.9,37.5
MH_CH_17,29.11.18,12,0,0,0
MH_CH_18,29.11.18,12,46.8,47,47.8
MH_CH_19,29.11.18,12,56.5,48.7,48.2
MH_CH_20,29.11.18,12,0,0,0.3
MH_CH_21,29.11.18,12,28.5,25,29.7
MH_CH_22,29.11.18,12,63.5,73.5,43.1
MH_CH_23,29.11.18,12,41.5,49,47.5
MH_CH_24,29.11.18,12,14,0,0
MH_CH_25,29.11.18,12,0,0,0
MH_CH_26,29.11.18,12,10.6,4.1,10.5
MH_CH_27,29.11.18,12,41.8,39.8,45.8
MH_CH_28,29.11.18,12,47.7,47.4,47.8
MH_CH_29,29.11.18,12,43.8,40.3,41
MH_CH_30,29.11.18,12,0,0,5.1
MH_CH_31,29.11.18,12,47.2,43.4,46.7
MH_TT_01,29.11.18,12,22,27.4,24.2
MH_TT_02,29.11.18,12,34.3,37.4,40.4
MH_TT_03,29.11.18,12,17.4,21.6,16
MH_TT_04,29.11.18,12,7.3,8.9,8.9
MH_TT_05,29.11.18,12,7.8,4.3,0
MH_TT_06,29.11.18,12,21.9,14.2,17.8
MH_TT_07,29.11.18,12,7.2,11,8.4
MH_TT_08,29.11.18,12,41.5,44.6,45
MH_TT_09,29.11.18,12,62,46.8,47.1
MH_TT_10,29.11.18,12,0,0,0
MH_TT_11,29.11.18,12,32.8,36.2,25.1
MH_TT_12,29.11.18,12,0,0,0
MH_TT_13,29.11.18,12,45.8,34.7,42.2
MH_TT_14,29.11.18,12,46,43.9,49.1
MH_TT_15,29.11.18,12,88.6,74.5,79.5
MH_TT_16,29.11.18,12,0,3.6,1
MH_TT_17,29.11.18,12,27.3,16.9,25
MH_TT_18,29.11.18,12,46.2,43.4,45.8
MH_TT_19,29.11.18,12,34.2,33.7,33
MH_TT_20,29.11.18,12,54.5,49.1,57
MH_TT_21,29.11.18,12,23.8,22.6,25.8
MH_TT_22,29.11.18,12,0,0,0
MH_TT_23,29.11.18,12,54.5,47.7,56.5
MH_TT_24,29.11.18,12,47.1,48.2,35.1
MH_TT_25,29.11.18,12,6,5.4,7.2
MH_TT_26,29.11.18,12,61.5,42,56
MH_TT_27,29.11.18,12,42.3,40.3,38.6
MH_TT_28,29.11.18,12,28.5,30.7,26.1
MH_TT_29,29.11.18,12,3.3,7.6,8.2
MH_TT_30,29.11.18,12,23.5,34.8,23.7
MH_TT_31,29.11.18,12,1.6,5.3,0.6
MH_CH_01,22.2.19,13,47.4,49.4,69
MH_CH_02,22.2.19,13,0,0,0
MH_CH_03,22.2.19,13,0,0,0
MH_CH_04,22.2.19,13,39.8,40.7,41.9
MH_CH_05,22.2.19,13,0,0,0
MH_CH_06,22.2.19,13,33.6,42.4,41.7
MH_CH_07,22.2.19,13,0,0,10
MH_CH_08,22.2.19,13,22.9,21.9,21.3
MH_CH_09,22.2.19,13,0,0,3.3
MH_CH_10,22.2.19,13,31.5,26.2,38.3
MH_CH_11,22.2.19,13,26.9,29.1,32.1
MH_CH_12,22.2.19,13,3.4,0,0
MH_CH_13,22.2.19,13,0,0,0
MH_CH_14,22.2.19,13,14.7,13.4,9.3
MH_CH_15,22.2.19,13,0,0,0
MH_CH_16,22.2.19,13,45,23.2,25.2
MH_CH_17,22.2.19,13,0,0,0
MH_CH_18,22.2.19,13,45.1,45.4,44.6
MH_CH_19,22.2.19,13,48.6,48.7,46
MH_CH_20,22.2.19,13,0.7,0,2.8
MH_CH_21,22.2.19,13,20.2,28.7,26.2
MH_CH_22,22.2.19,13,41,41.7,53
MH_CH_23,22.2.19,13,21.7,42.5,46.2
MH_CH_24,22.2.19,13,0.3,8.1,13.8
MH_CH_25,22.2.19,13,0,0,0
MH_CH_26,22.2.19,13,3.9,11.5,4.6
MH_CH_27,22.2.19,13,29.5,38.5,34.4
MH_CH_28,22.2.19,13,42.5,39,36.6
MH_CH_29,22.2.19,13,38.6,34.2,20.2
MH_CH_30,22.2.19,13,0,0,0
MH_CH_31,22.2.19,13,44.7,42.6,39.8
MH_TT_01,22.2.19,13,27.8,22.9,22.7
MH_TT_02,22.2.19,13,24,27.2,25.5
MH_TT_03,22.2.19,13,4.5,3.4,8.7
MH_TT_04,22.2.19,13,0,0,0
MH_TT_05,22.2.19,13,0,0,0
MH_TT_06,22.2.19,13,0,0,0
MH_TT_07,22.2.19,13,4.6,6,0
MH_TT_08,22.2.19,13,47,45.1,42.3
MH_TT_09,22.2.19,13,47,48.1,41.7
MH_TT_10,22.2.19,13,0,0,0
MH_TT_11,22.2.19,13,23.8,16.2,20.6
MH_TT_12,22.2.19,13,0,0,0
MH_TT_13,22.2.19,13,29.7,25.7,30.3
MH_TT_14,22.2.19,13,30.1,26.5,30.7
MH_TT_15,22.2.19,13,49.2,43.1,44.2
MH_TT_16,22.2.19,13,0,0,0
MH_TT_17,22.2.19,13,5.4,2.4,2.7
MH_TT_18,22.2.19,13,41.2,40,39.8
MH_TT_19,22.2.19,13,2.5,2.7,1.7
MH_TT_20,22.2.19,13,43.9,46.7,45.4
MH_TT_21,22.2.19,13,5.2,4.9,4.4
MH_TT_22,22.2.19,13,0,0,0
MH_TT_23,22.2.19,13,48.6,47.9,47.7
MH_TT_24,22.2.19,13,43.3,46.6,40.1
MH_TT_25,22.2.19,13,0,0,0
MH_TT_26,22.2.19,13,57.5,48,45.3
MH_TT_27,22.2.19,13,36.6,38.5,35.2
MH_TT_28,22.2.19,13,30.5,26.2,28.8
MH_TT_29,22.2.19,13,10,0,2.4
MH_TT_30,22.2.19,13,0,0,0
MH_TT_31,22.2.19,13,12.4,18.6,15.5
MH_CH_01,18.8.19,14,73.5,45.1,60
MH_CH_02,18.8.19,14,0,0,0
MH_CH_03,18.8.19,14,0.4,0.1,1.9
MH_CH_04,18.8.19,14,44.6,44.7,42.8
MH_CH_05,18.8.19,14,0,0,0
MH_CH_06,18.8.19,14,38.5,43.1,41.7
MH_CH_07,18.8.19,14,1.9,21.6,3
MH_CH_08,18.8.19,14,25.3,23.1,25.2
MH_CH_09,18.8.19,14,0.6,0,0
MH_CH_10,18.8.19,14,35.4,25.5,28.5
MH_CH_11,18.8.19,14,18.3,16.1,21.5
MH_CH_12,18.8.19,14,15.4,0,0
MH_CH_13,18.8.19,14,0,0,0
MH_CH_14,18.8.19,14,13.6,10.9,4.5
MH_CH_15,18.8.19,14,0,0,0
MH_CH_16,18.8.19,14,44.9,30.2,31.5
MH_CH_17,18.8.19,14,0,0,0
MH_CH_18,18.8.19,14,47.2,48.2,47.2
MH_CH_19,18.8.19,14,48.5,44.6,47
MH_CH_20,18.8.19,14,2.1,4.2,0
MH_CH_21,18.8.19,14,22.8,26.5,22.1
MH_CH_22,18.8.19,14,59.5,47.4,63
MH_CH_23,18.8.19,14,15.1,40.6,60
MH_CH_24,18.8.19,14,2,0,0
MH_CH_25,18.8.19,14,0,0,0
MH_CH_26,18.8.19,14,7.8,6,7.6
MH_CH_27,18.8.19,14,37.6,44.3,35.2
MH_CH_28,18.8.19,14,32,23.3,32.7
MH_CH_29,18.8.19,14,39,43.9,38.3
MH_CH_30,18.8.19,14,0,0,0
MH_CH_31,18.8.19,14,34.9,30.4,35.5
MH_TT_01,18.8.19,14,20,21.6,23.9
MH_TT_02,18.8.19,14,34.8,29.2,33.9
MH_TT_03,18.8.19,14,34.6,25.8,32.4
MH_TT_04,18.8.19,14,5.7,0,0
MH_TT_05,18.8.19,14,0,0,0
MH_TT_06,18.8.19,14,0,0,0
MH_TT_07,18.8.19,14,0.7,1.8,0
MH_TT_08,18.8.19,14,49,49.1,41.5
MH_TT_09,18.8.19,14,48.7,46.3,42.2
MH_TT_10,18.8.19,14,0,0,0
MH_TT_11,18.8.19,14,39.5,25.5,30
MH_TT_12,18.8.19,14,0,0,0
MH_TT_13,18.8.19,14,33.4,26.9,38.1
MH_TT_14,18.8.19,14,44.4,40.9,42.9
MH_TT_15,18.8.19,14,46.8,40.7,43.9
MH_TT_16,18.8.19,14,0,0,2.7
MH_TT_17,18.8.19,14,15.7,0,15.9
MH_TT_18,18.8.19,14,41.4,40.4,39
MH_TT_19,18.8.19,14,19.3,24.3,22.2
MH_TT_20,18.8.19,14,45.3,47.1,47.8
MH_TT_21,18.8.19,14,0,2.9,0
MH_TT_22,18.8.19,14,0,0,0
MH_TT_23,18.8.19,14,47,59,49.4
MH_TT_24,18.8.19,14,46.2,45.7,43.4
MH_TT_25,18.8.19,14,0,0,0
MH_TT_26,18.8.19,14,43.9,56.5,46.2
MH_TT_27,18.8.19,14,39.4,36.7,37.4
MH_TT_28,18.8.19,14,28.5,27.2,24.8
MH_TT_29,18.8.19,14,34.3,33.3,33
MH_TT_30,18.8.19,14,0,0,4.3
MH_TT_31,18.8.19,14,19.3,15,23.1
MH_CH_01,17.2.20,15,48.6,53,43.9
MH_CH_02,17.2.20,15,0,0,0
MH_CH_03,17.2.20,15,2.2,13.1,8.2
MH_CH_04,17.2.20,15,41.4,39.9,41.8
MH_CH_05,17.2.20,15,0,0,0
MH_CH_06,17.2.20,15,31.8,30.6,34.2
MH_CH_07,17.2.20,15,21.7,26.7,21
MH_CH_08,17.2.20,15,24.3,26.5,29.8
MH_CH_09,17.2.20,15,0,0,0
MH_CH_10,17.2.20,15,27,28.3,25.8
MH_CH_11,17.2.20,15,16.1,26.6,20.8
MH_CH_12,17.2.20,15,0,2.7,0
MH_CH_13,17.2.20,15,0,0,0
MH_CH_14,17.2.20,15,16.3,17.9,12.9
MH_CH_15,17.2.20,15,0,0,0
MH_CH_16,17.2.20,15,42.4,31,42.2
MH_CH_17,17.2.20,15,0,0,0
MH_CH_18,17.2.20,15,44.6,45.3,44.4
MH_CH_19,17.2.20,15,47.3,47,44.2
MH_CH_20,17.2.20,15,4.9,1.9,0
MH_CH_21,17.2.20,15,26.4,24.3,28.7
MH_CH_22,17.2.20,15,48.6,40.4,47.3
MH_CH_23,17.2.20,15,16.9,38.2,44.4
MH_CH_24,17.2.20,15,0,5.4,0
MH_CH_25,17.2.20,15,0,0,0
MH_CH_26,17.2.20,15,9.6,14.1,10.2
MH_CH_27,17.2.20,15,40.6,30.9,34
MH_CH_28,17.2.20,15,40.8,40,43.4
MH_CH_29,17.2.20,15,34.7,35,35.8
MH_CH_30,17.2.20,15,0,0,0
MH_CH_31,17.2.20,15,31.8,34.5,34.8
MH_TT_01,17.2.20,15,27.3,24.1,23.8
MH_TT_02,17.2.20,15,30.2,32.5,29.4
MH_TT_03,17.2.20,15,33.6,25.3,32.7
MH_TT_04,17.2.20,15,0,0,0
MH_TT_05,17.2.20,15,0,0,0
MH_TT_06,17.2.20,15,0,0,0
MH_TT_07,17.2.20,15,0,0,0
MH_TT_08,17.2.20,15,47,41.4,43.2
MH_TT_09,17.2.20,15,54,53.5,43.4
MH_TT_10,17.2.20,15,0,0,0
MH_TT_11,17.2.20,15,28.5,27.4,31.3
MH_TT_12,17.2.20,15,0,0,0
MH_TT_13,17.2.20,15,33.7,38.9,33.1
MH_TT_14,17.2.20,15,14.5,15.1,12.1
MH_TT_15,17.2.20,15,45.6,41.7,43.8
MH_TT_16,17.2.20,15,0,0,0
MH_TT_17,17.2.20,15,14.4,18.7,10.7
MH_TT_18,17.2.20,15,38.3,40.4,39.6
MH_TT_19,17.2.20,15,22.3,26.7,27.3
MH_TT_20,17.2.20,15,45.7,44.6,45.3
MH_TT_21,17.2.20,15,0,0,0
MH_TT_22,17.2.20,15,0,0,0
MH_TT_23,17.2.20,15,43.7,46.2,45.2
MH_TT_24,17.2.20,15,44.6,44.1,43.1
MH_TT_25,17.2.20,15,0,0,0
MH_TT_26,17.2.20,15,44.9,45,43.6
MH_TT_27,17.2.20,15,35.9,36.2,39.5
MH_TT_28,17.2.20,15,10.6,10.8,16.7
MH_TT_29,17.2.20,15,33.4,34.3,31.3
MH_TT_30,17.2.20,15,1.3,0,5.4
MH_TT_31,17.2.20,15,15.6,15,21.7
MH_CH_01,4.9.20,16,46.5,53,44.6
MH_CH_02,2.9.20,16,0,0,0
MH_CH_03,3.9.20,16,6.4,2,5.8
MH_CH_04,1.9.20,16,43.4,43.3,43.8
MH_CH_05,8.9.20,16,0,0,0
MH_CH_06,4.9.20,16,38.5,31.3,31
MH_CH_07,1.9.20,16,30,27.1,31.6
MH_CH_08,5.9.20,16,29.1,27.9,27.9
MH_CH_09,4.9.20,16,0,0.3,0
MH_CH_10,4.9.20,16,33.5,34,17.5
MH_CH_11,1.9.20,16,14.4,14.3,12.1
MH_CH_12,4.9.20,16,0,0,13
MH_CH_13,1.9.20,16,11.3,0,0
MH_CH_14,5.9.20,16,17.3,24.2,24
MH_CH_15,2.9.20,16,0,0,0
MH_CH_16,5.9.20,16,31.4,35.8,44.9
MH_CH_17,8.9.20,16,0,0,0
MH_CH_18,1.9.20,16,46.1,44.9,46.2
MH_CH_19,3.9.20,16,48.2,48.5,45.1
MH_CH_20,2.9.20,16,0.9,6.1,6
MH_CH_21,3.9.20,16,20.2,24.7,23.8
MH_CH_22,3.9.20,16,48.4,44.2,47.9
MH_CH_23,4.9.20,16,34.8,21.6,44.3
MH_CH_24,4.9.20,16,0,0,0
MH_CH_25,4.9.20,16,0,0,0
MH_CH_26,2.9.20,16,11.5,17.4,12.8
MH_CH_27,1.9.20,16,34.4,39.6,41.3
MH_CH_28,2.9.20,16,46,34,41
MH_CH_29,8.9.20,16,35.2,36.2,35.1
MH_CH_30,1.9.20,16,0,0,0
MH_CH_31,5.9.20,16,31.4,30.3,34.4
MH_TT_01,3.9.20,16,33.4,31.3,30.7
MH_TT_02,3.9.20,16,34.8,35,31.3
MH_TT_03,5.9.20,16,29.8,28.3,29.5
MH_TT_04,8.9.20,16,0,0,0
MH_TT_05,2.9.20,16,0,0,0
MH_TT_06,1.9.20,16,0,0,0
MH_TT_07,2.9.20,16,0,0,0
MH_TT_08,5.9.20,16,41.8,48.1,44.4
MH_TT_09,3.9.20,16,47,47.4,42.9
MH_TT_10,4.9.20,16,0,0,0
MH_TT_11,3.9.20,16,27.2,27.9,31.9
MH_TT_12,8.9.20,16,0,0,0
MH_TT_13,3.9.20,16,41.8,45.6,42.3
MH_TT_14,4.9.20,16,25.3,25.8,21.5
MH_TT_15,8.9.20,16,47,44.2,47.6
MH_TT_16,2.9.20,16,0,0,0
MH_TT_17,1.9.20,16,18.8,21.2,19.3
MH_TT_18,2.9.20,16,39.5,40.9,41.8
MH_TT_19,1.9.20,16,29.6,29.5,27.3
MH_TT_20,4.9.20,16,44.2,45.7,44.9
MH_TT_21,1.9.20,16,0,0,0
MH_TT_22,1.9.20,16,0,0,0
MH_TT_23,8.9.20,16,63.5,58.5,54.5
MH_TT_24,2.9.20,16,44.1,40.8,44.2
MH_TT_25,4.9.20,16,0,0,0
MH_TT_26,4.9.20,16,41.8,52.5,63.5
MH_TT_27,5.9.20,16,36.6,35.8,34.5
MH_TT_28,4.9.20,16,14.5,18.2,12.9
MH_TT_29,1.9.20,16,35.5,34.8,35.2
MH_TT_30,1.9.20,16,10.3,17.9,10.9
MH_TT_31,4.9.20,16,18,13.1,20.2
DMP_CH_01,7.4.17,1,29.5,32.4,27.4
DMP_CH_02,7.4.17,1,28.9,29.5,27.8
DMP_CH_03,7.4.17,1,28.9,30.1,24.7
DMP_CH_04,7.4.17,1,30.9,29.7,28.6
DMP_CH_05,7.4.17,1,35.2,31.9,26.2
DMP_CH_06,7.4.17,1,32.8,24.9,24.6
DMP_CH_07,7.4.17,1,28.3,33.7,28.6
DMP_CH_08,7.4.17,1,36.7,37.1,38.4
DMP_CH_09,7.4.17,1,32.1,34.2,30.5
DMP_CH_10,7.4.17,1,47.8,47,38.9
DMP_CH_11,7.4.17,1,48.6,48.9,89.9
DMP_CH_12,7.4.17,1,41.9,21.8,23.2
DMP_CH_13,7.4.17,1,59.5,36,37.2
DMP_CH_14,7.4.17,1,33.7,33.9,47.9
DMP_CH_15,7.4.17,1,51.5,39.1,42.3
DMP_CH_16,7.4.17,1,41.4,32.5,33
DMP_CH_17,7.4.17,1,41.2,40.1,45.7
DMP_CH_18,7.4.17,1,34.2,24.5,34.7
DMP_CH_19,7.4.17,1,23.4,20.2,43.1
DMP_CH_20,7.4.17,1,34.3,27.9,30
DMP_CH_21,7.4.17,1,18.2,21.2,25.4
DMP_CH_22,7.4.17,1,19.4,10.1,15.9
DMP_CH_23,7.4.17,1,45.8,29.1,43.9
DMP_CH_24,7.4.17,1,28.3,34.4,33.4
DMP_CH_25,7.4.17,1,26.2,21.3,20.6
DMP_CH_26,7.4.17,1,29.5,34.9,30.7
DMP_CH_27,7.4.17,1,75,46.7,80
DMP_CH_28,7.4.17,1,44.4,42.6,40.1
DMP_CH_29,7.4.17,1,20.4,31.9,12.7
DMP_CH_30,7.4.17,1,28.8,39.9,32.4
DMP_CH_31,7.4.17,1,9,28.8,30.7
DMP_TT_01,7.4.17,1,89.4,86,64.5
DMP_TT_02,7.4.17,1,40.9,72.5,48.7
DMP_TT_03,7.4.17,1,70.5,46.6,66.5
DMP_TT_04,7.4.17,1,24,24.7,31
DMP_TT_05,7.4.17,1,59.5,79.5,68
DMP_TT_06,7.4.17,1,36.6,26.8,17.8
DMP_TT_07,7.4.17,1,41.8,37,38.8
DMP_TT_08,7.4.17,1,81.5,84,84.5
DMP_TT_09,7.4.17,1,81.5,49.4,66.5
DMP_TT_10,7.4.17,1,55.5,80,65.5
DMP_TT_11,7.4.17,1,48.9,81.5,48.2
DMP_TT_12,7.4.17,1,76.5,76.5,65
DMP_TT_13,7.4.17,1,14.1,14.7,11.5
DMP_TT_14,7.4.17,1,24.4,26.9,22.2
DMP_TT_15,7.4.17,1,38.2,59.5,26.1
DMP_TT_16,7.4.17,1,41.2,49.2,27.7
DMP_TT_17,7.4.17,1,28.4,22.6,32.1
DMP_TT_18,7.4.17,1,44.3,57.5,45.8
DMP_TT_19,7.4.17,1,43.1,34.1,47.7
DMP_TT_20,7.4.17,1,29.5,39,31.7
DMP_TT_21,7.4.17,1,50.5,29.5,32.9
DMP_TT_22,7.4.17,1,42.4,47.7,44.7
DMP_TT_23,7.4.17,1,89.1,86,88.1
DMP_TT_24,7.4.17,1,74.5,84,77.5
DMP_TT_25,7.4.17,1,18.9,30.3,28.3
DMP_TT_26,7.4.17,1,31.8,30.6,38.8
DMP_TT_27,7.4.17,1,88.6,88.6,55.3
DMP_TT_28,7.4.17,1,68,69,48.7
DMP_TT_29,7.4.17,1,33.6,33.5,28.5
DMP_TT_30,7.4.17,1,20.2,18.1,22.3
DMP_TT_31,7.4.17,1,25.6,17.5,24
DMP_CH_01,20.4.17,2,20.2,23.5,28.7
