Sod,Swamp,veg,water_treatment,fire_treatment
KT_TT_04,KT,tt,M,ub
KT_TT_05,KT,tt,L,ub
KT_TT_06,KT,tt,L,b
KT_TT_07,KT,tt,H,ub
KT_TT_08,KT,tt,H,b
KT_TT_09,KT,tt,M,b
KT_TT_10,KT,tt,M,b
KT_TT_11,KT,tt,M,b
KT_TT_12,KT,tt,H,b
KT_TT_13,KT,tt,H,ub
KT_TT_14,KT,tt,M,ub
KT_TT_15,KT,tt,H,b
KT_TT_16,KT,tt,H,b
KT_TT_17,KT,tt,H,ub
KT_TT_18,KT,tt,M,ub
KT_TT_19,KT,tt,M,ub
KT_TT_20,KT,tt,H,ub
KT_TT_21,KT,tt,L,ub
KT_TT_22,KT,tt,L,ub
KT_TT_23,KT,tt,H,ub
KT_TT_24,KT,tt,L,b
KT_TT_25,KT,tt,M,b
KT_TT_26,KT,tt,L,ub
KT_TT_27,KT,tt,M,b
KT_TT_28,KT,tt,M,ub
KT_TT_29,KT,tt,L,b
KT_TT_30,KT,tt,L,b
KT_TT_31,KT,tt,L,b
MH_CH_01,MH,ch,H,b
MH_CH_02,MH,ch,L,ub
MH_CH_03,MH,ch,M,ub
MH_CH_04,MH,ch,H,ub
MH_CH_05,MH,ch,L,ub
MH_CH_06,MH,ch,M,b
MH_CH_07,MH,ch,H,ub
MH_CH_08,MH,ch,M,ub
MH_CH_09,MH,ch,L,b
MH_CH_10,MH,ch,M,b
MH_CH_11,MH,ch,M,ub
MH_CH_12,MH,ch,M,b
MH_CH_13,MH,ch,L,b
MH_CH_14,MH,ch,M,ub
MH_CH_15,MH,ch,L,ub
MH_CH_16,MH,ch,H,b
MH_CH_17,MH,ch,L,ub
MH_CH_18,MH,ch,H,ub
MH_CH_19,MH,ch,H,ub
MH_CH_20,MH,ch,L,b
MH_CH_21,MH,ch,M,b
MH_CH_22,MH,ch,H,b
MH_CH_23,MH,ch,H,b
MH_CH_24,MH,ch,L,b
MH_CH_25,MH,ch,L,ub
MH_CH_26,MH,ch,M,ub
MH_CH_27,MH,ch,M,b
MH_CH_28,MH,ch,H,b
MH_CH_29,MH,ch,H,ub
MH_CH_30,MH,ch,L,b
MH_CH_31,MH,ch,M,b
MH_TT_01,MH,tt,M,b
MH_TT_02,MH,tt,M,ub
MH_TT_03,MH,tt,H,ub
MH_TT_04,MH,tt,L,ub
MH_TT_05,MH,tt,L,ub
MH_TT_06,MH,tt,L,b
MH_TT_07,MH,tt,L,b
MH_TT_08,MH,tt,H,b
MH_TT_09,MH,tt,H,ub
MH_TT_10,MH,tt,L,ub
MH_TT_11,MH,tt,H,b
MH_TT_12,MH,tt,L,ub
MH_TT_13,MH,tt,H,ub
MH_TT_14,MH,tt,M,b
MH_TT_15,MH,tt,H,ub
MH_TT_16,MH,tt,L,ub
MH_TT_17,MH,tt,M,ub
MH_TT_18,MH,tt,M,ub
MH_TT_19,MH,tt,M,ub
MH_TT_20,MH,tt,H,b
MH_TT_21,MH,tt,L,b
MH_TT_22,MH,tt,L,b
MH_TT_23,MH,tt,H,ub
MH_TT_24,MH,tt,H,b
MH_TT_25,MH,tt,L,ub
MH_TT_26,MH,tt,H,b
MH_TT_27,MH,tt,M,b
MH_TT_28,MH,tt,M,b
MH_TT_29,MH,tt,M,ub
MH_TT_30,MH,tt,L,b
MH_TT_31,MH,tt,M,b
